id,release_date,revenue,runtime,title
2371,1980-06-06,0.0,192.0,Teheran "43
2395,2008-01-13,1.329E8,116.0,Asterix at the Olympic Games
2428,1965-02-15,1.5473333E7,199.0,The Greatest Story Ever Told
2447,2006-12-01,0.0,101.0,The Nativity Story
2501,2002-06-14,2.14034224E8,119.0,The Bourne Identity
2502,2004-07-23,2.88500217E8,108.0,The Bourne Supremacy
2528,1991-04-03,1942423.0,136.0,Madame Bovary
2574,1958-09-05,0.0,90.0,The Lovers
2575,2001-02-11,2.8008462E7,109.0,The Tailor of Panama
2594,2002-03-06,0.0,100.0,Monsieur Batignole
2605,1986-05-09,4.0697761E7,98.0,Short Circuit
2617,1988-06-17,4.345523E7,91.0,The Great Outdoors
2640,1988-10-01,1108462.0,102.0,Heathers
2657,1998-09-17,0.0,124.0,Pleasantville
2692,2007-02-13,0.0,90.0,The Red Elvis
2699,1996-11-17,0.0,173.0,Titanic
2701,1994-04-03,0.0,175.0,Abraham
2722,2002-04-27,0.0,114.0,The Other Side of the Bed
2759,1994-05-31,1.122067E7,104.0,The Adventures of Priscilla_ Queen of the Desert
2769,1951-08-08,4500000.0,113.0,An American in Paris
2770,2001-08-10,2.87553595E8,108.0,American Pie 2
2791,2004-06-15,0.0,34.0,The Chronicles of Riddick: Dark Fury
2912,1970-02-27,0.0,90.0,The Butcher
2925,1996-09-20,1.164E8,102.0,The First Wives Club
2973,1924-09-24,0.0,120.0,Aelita: Queen of Mars
2976,2007-07-13,9.0450008E7,117.0,Hairspray
2990,1990-09-28,2.9381956E7,102.0,Pacific Heights
2993,1969-08-15,0.0,97.0,One on Top of the Other
3004,1969-10-06,0.0,94.0,Twelve Plus One
3007,1929-10-14,0.0,170.0,Woman in the Moon
3010,1963-12-12,0.0,175.0,The Cardinal
3030,1977-08-01,0.0,88.0,End of the World
3033,1998-01-21,6451628.0,105.0,Gods and Monsters
3052,1967-06-20,0.0,97.0,Don"t Make Waves
3060,1925-11-05,2.2E7,151.0,The Big Parade
3077,1939-01-13,0.0,99.0,Son of Frankenstein
3081,1958-06-24,0.0,104.0,The Goddess
3082,1936-02-05,8500000.0,87.0,Modern Times
3083,1939-10-19,9600000.0,129.0,Mr. Smith Goes to Washington
3089,1948-08-26,9012000.0,133.0,Red River
3101,1990-04-06,0.0,94.0,I Love You to Death
3104,1967-03-15,0.0,92.0,Frankenstein Created Woman
3107,1968-08-01,0.0,89.0,Destroy All Monsters
3134,2000-06-28,940944.0,77.0,Baise-moi
3160,1965-08-08,0.0,93.0,Frankenstein Conquers the World
3168,2003-08-31,0.0,107.0,Three-Step Dance
3210,1966-01-01,0.0,77.0,The Projected Man
3418,1980-01-23,0.0,130.0,Death Watch
3476,1975-02-12,0.0,109.0,That Most Important Thing: Love
3484,1932-11-05,0.0,68.0,The Mask of Fu Manchu
3489,2007-02-14,1.6930884E7,108.0,88 Minutes
3512,1995-07-13,1.04324083E8,100.0,Under Siege 2: Dark Territory
3527,2005-05-19,0.0,123.0,Don"t Come Knocking
3536,2000-04-20,1.27666415E8,116.0,U-571
3543,1987-11-12,3587303.0,95.0,Bagdad Cafe
3556,1961-05-12,0.0,88.0,Mad Dog Coll
3577,2001-01-21,0.0,150.0,The Tunnel
3578,1933-10-26,0.0,72.0,The Tunnel
3598,1937-09-01,0.0,97.0,Lost Horizon
3635,2003-08-31,3.1466789E7,101.0,Girl with a Pearl Earring
3638,2007-07-25,9.260105E7,104.0,No Reservations
3683,2006-10-18,6.5900249E7,132.0,Flags of Our Fathers
3763,1964-11-21,0.0,103.0,Onibaba
3786,1979-03-02,0.0,98.0,Buck Rogers in the 25th Century
3981,2000-12-15,3.74111707E8,127.0,What Women Want
3989,2004-10-10,5.0907422E7,98.0,Team America: World Police
4011,1988-02-29,7.3326666E7,92.0,Beetlejuice
4025,1963-12-25,0.0,134.0,The Prize
4034,1964-02-05,0.0,110.0,That Man from Rio
4148,2008-12-19,7.5225693E7,119.0,Revolutionary Road
4226,2000-10-17,0.0,86.0,Shriek If You Know What I Did Last Friday the Thirteenth
4232,1996-12-20,1.73046663E8,111.0,Scream
4235,1969-12-01,0.0,125.0,The Sicilian Clan
4247,2000-07-07,2.78019771E8,88.0,Scary Movie
4271,1988-02-03,0.0,90.0,Life Is a Long Quiet River
4344,2007-02-13,0.0,90.0,Hotel Very Welcome
4351,2006-05-18,0.0,112.0,Bordertown
4369,2000-01-01,0.0,88.0,Just a Question of Love
4380,2004-10-15,1.7012846E8,107.0,Shall We Dance?
4546,1975-01-10,0.0,119.0,The Count of Monte-Cristo
4638,2007-02-14,8.0573774E7,121.0,Hot Fuzz
4639,1987-09-25,4278150.0,95.0,Best Seller
4641,2006-07-21,0.0,90.0,Read It and Weep
4643,2006-09-28,5.5011732E7,139.0,The Guardian
4658,2007-06-17,0.0,86.0,Arctic Tale
4701,1958-02-07,0.0,115.0,A Tale of Two Cities
4723,2006-05-15,374743.0,144.0,Southland Tales
4727,1964-09-08,0.0,89.0,The Gendarme of St. Tropez
4728,1965-10-28,0.0,95.0,The Gendarme in New York
4734,1991-10-30,138000.0,158.0,Van Gogh
4816,1999-09-13,0.0,116.0,Ghost Dog: The Way of the Samurai
4823,1992-02-07,2.8590665E7,117.0,Final Analysis
4896,2004-01-28,0.0,90.0,Muxm채uschenstill
4958,2000-11-02,3.9459427E7,126.0,The Legend of Bagger Vance
4973,2000-09-11,0.0,92.0,Under the Sand
4974,2004-09-01,0.0,90.0,Five Times Two
4975,1998-09-16,0.0,90.0,Love Is the Devil: Study for a Portrait of Francis Bacon
4979,2006-02-10,0.0,88.0,Windows on Monday
